,Input,Output,Result
641,"Tiga isu penting TGB Zainul Majdi, justru karena tiga isu itu satu kesatuan: Kuatkan ekonomi umat, sejahterahkan rakyat kecil dan budayakan Pancasila.",isu tuan guru bajang zainul majdi isu kesatuan kuatkan ekonomi umat sejahterakan rakyat budayakan pancasila,negative
642,"Gelap ada 5 macam, gelap kerana hari malam, gelap mata kerana buta, gelap otak tiada ilmu, gelap hati tiada agama, gelap hidup tiada kerja.'",gelap 5 gelap ranah malam gelap mata ranah gelap otak tiada ilmu gelap hati tiada agama gelap hidup tiada kerja,negative
643,Revisi hukum pidana dengan memasukkan klausul mengenai PSK sukarela sudah sangat dibutuhkan. Indonesia yang gencar mempromosikan diri sebagai surga wisata internasional senyatanya perlu memagari... URL,revisi hukum pidana memasukkan klausul pekerja komersial sukarela dibutuhkan indonesia gencar mempromosikan surga wisata internasional senyatanya memagari,neutral
644,"RT RPGpedia ""Gubernur Jaman Now dekat dengan Rakyat pilih nomor 1; ; #KamiGanjarYasin ; #KandangBant3ng; ; Salamnya; #TemannyaRPG; #namakuRUDY; #TemannyaRUDY",rpgpedia gubernur jaman now rakyat pilih nomor 1 ganjar yasin kandang banteng salamnya temannya role playing game namaku rudy temannya ruddy,neutral
645,USER WOI BOLOT',woi bolot,negative
646,Kenapa USER bicaranya sesuatu yg remeh temeh spt masalah kalajengking krn belio tau oposisinya spt USER itu pasti nyinyir jd stress dan stroke sendiri...krn emang dosen ga laku...bacot gede hasil karya ga ada... bahkan anak asuhnya mayor dungu, bicaranya remeh temeh surat pemberitahuan tahunan kalajengking beliau tau oposisinya surat pemberitahuan tahunan  nyinyir stres strok dosen laku gede hasil karya anak asuhnya mayor,negative
647,"""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsus PDI_Perjuangan Kota Gunungsitoli.; ; #GubernurZamanNow ; #DjarotSihar2 ; #SumutPilih2Djoss #DjarotSiharMenang #GunungSitoli #PDIPerjuangan",keanekaragaman budaya suku agama sesungguhnya kekayaan a djarot hadapan peserta rapat kerja cabang khusus pdi_perjuangan kota gunung sitoli gubernur zaman now djarot sihar 2 sumatra utara pilih jos djarot sihar menang gunung sitoli partai demokrasi indonesia perjuangan,neutral
648,"RT USER: USER sekalian kalo di pasar nemu tukang jualan pisang, makiin aja abangnya gara gara dia pendukung LGBT!!!!!! haduh\xe2\x80\xa6'",pasar menemukan tukang jualan pisang memaki abangnya gara gara pendukung aduh,negative
649,"USER USER USER Setipe sama yang dibelain. \nKata andalan ""cebong"" adalah pemuas syahwatnya \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",setipe dibela andalan pemuas syahwatnya,positive
650,"Ajak semua Muslim cari tahu siapa Muhammad sebenarnya, jangan sampai dia enak2 cocok2 penis bangsa ini jadi susah",ajak muslim cari muhammad enak enak cocok cocok penis bangsa susah,negative
651,"USER Eh dungu, ngapain lu masih mensen2 gue, katanya mau muter alun gue.\nLu itu cuma bisa forward berita tanpa analisa.\nKelompok MAHO mana ada yg cerdas wk wk wk'",eh mention mention gue memuter alun gue forward berita analisa kelompok manusia cerdas wkwk wkwk wkwk,negative
652,USER USER USER USER hehe typical bani pekok. ga bs bantah trs danga dungu dah.',hehe tipikal bantah danga,neutral
653,"USER USER USER ~improvisasi itu lagu..al Qur'an itu tafsir..masak susah mikir gituan..murotal itu improv..Tilawatil Qur'an itu improv..raut mukamu itu tafsir..cara kentutmu itu tafsir..cara ngentot aja tafsir..cara kawin itu tafsir...ngaji yg bener.!!""",improvisasi lagu al qur an tafsir masak susah pikir murottal meningkatkan tilawatil qur an meningkatkan raut mukamu tafsir kentutmu tafsir tafsir kawin tafsir mengaji,negative
654,SEMOGA KITA TERMASUK ORANG2 DENGAN WAJAH YG BERSERI2 ð??? #JumatBerkah; ; Ù?Ù?Ø¬Ù?Ù?Ù?Ù? Ù?Ù?Ù?Ù?Ù?Ù?Ø¦Ù?Ø°Ù? Ù?Ù?Ù?Ø§Ø¶Ù?Ø±Ù?Ø©Ù?; Wajah-wajahÂ (orang-orang mukmin) pada hari itu berseri-seri.(Al-qiyamah: 22); Ù?Ù?Ù?Ù?Ø¬Ù?Ù?Ù?Ù? Ù?Ù?Ù?Ù?Ù?Ù?Ø¦Ù?Ø°Ù? Ø¨Ù?Ø§Ø³Ù?Ø±Ù?Ø©Ù?; DanÂ wajah-wajahÂ (orang kafir) pada hari itu,semoga orang orang wajah berseri seri jumat berkah o o odegu oSSoPu o o c wajah wajaha orang orang mukmin berseri seri al qiyamah 22 o o odegu o oSSo3u o o c dana wajah wajaha orang,negative
655,USER USER Yang panik itu yang mau ganti presiden tapi g tau calonnya siapa! Ups mungkin karena g bisa berbuat banyak!!!!! Karena dibawah kepemimpinan pak USER banyak koruptor tertangkap!!! Jadi mau ganti presiden!!! Siapa tau bisa di nego!!,panik ganti presiden tau calonnya ups berbuat kepemimpinan  koruptor tertangkap ganti presiden tau negosiasi,negative
656,Haruskah aku buat thread jadi TKI dimalaysia dengan jam kerja 16jam? Sebenernya ini kilang memang jahanam betol',haruskah thread tenaga kerja indonesia malaysia jam kerja enam belas jam kilang jahanam,negative
657,.; Ekonomi : hancur; Subsidi : dicabut; BBM : mahal; Listrik : naik tdk karuan; Sembako : tak terjangkau rakyat; Politik : kisruh terus; Agama : dinistakan terus; Kebijakan : tdk pro rakyat; HAM : terbengkalai; Leadership : LEMAH; ; Dua periode?,ekonomi hancur subsidi dicabut bahan bakar minyak mahal listrik karuan sembako terjangkau rakyat politik kisruh agama dinistakan kebijakan pro rakyat ham terbengkalai leadership lemah periode,negative
658,USER USER Dan Indonesia harus menghormati AS!!\n\nNtu sape nyang kemaren ngomong begitu??\nWahhh dr roman2nye pasti antek ASING tuh',indonesia menghormati as kemarin berbicara roman romannya,negative
659,"Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan",usir sepasang cina        selamatkan hutan,negative
660,"Fuh..bila ada orang cadang nak tutup tahfiz.\nMaka berbondong-bondong la manusia melayu kutuk habis-habisan demi agama islam katanya.Tapi aku tengok rupa yang melalak macam yahudi lagi,siap buat live kat socmed yang dia tengah tunjuk langit kat zouk.Sola",huh orang cadang nak tutup tahfiz berbondong bondong manusia melayu kutuk habis habisan agama islam tengok rupa melalak yahudi live kat media sosial langit kat zouk sola,negative
661,dr. Sam Aliano; ; Calon Presiden 2019.; ; Indonesia Bebas Hutang. â??; Indonesia Bubar Pas Kiamat. â??; Umroh Gratis per 1 Orang. â??,aliano calon presiden 2019 indonesia bebas hutang a indonesia bubar pas kiamat a umrah gratis 1 orang a,neutral
662,USER USER USER USER Pencipta hoaxs ya presiden dan wakilnya',pencipta hoaks ya presiden wakilnya,negative
663,"*dari swasta katolik\n\nyoi aku TK sampe SMA di swasta katolik, ketemu temen yang itu2 aja selama 12++ tahun, belakangan mikir yaudahlah toh 1-2 tahun lagi keluar dari situ'",swasta katolik iya tk swasta katolik ketemu teman 12 pikir ya 1 2 situ,negative
664,Muncul sudah antek antek PKI dah berani muncul terang-terangan mudah-mudah pemerintah tidak tinggal diam. URL,muncul partai indonesia berani muncul terang terangan mudah mudah pemerintah tinggal diam,negative
665,"Su Pin siswi Kelas 1C, SMP Katolik Santo Petrus, 1984, istrinya Ronaldo Pardede siswa Kelas 1A, SMP Katolik Santo Petrus, 1984.'",su pin siswi kelas 1c katolik santo petrus 1984 istrinya ronaldo pardede siswa kelas 1a katolik santo petrus 1984,neutral
666,"USER kalau kualitasnya gini jangankan bayar nanti 31 Mar, gratis pun mending pake antena nonton di Indos*ar \xf0\x9f\x98\xa3 URL",kualitasnya bayar 31 mar gratis mending pakai antena menonton indon ar,negative
667,USER 1. Mengandung ekstrak lidah buaya \n2. Tidak mengandung Alkohol\n3. Memiliki rasa manis\n4. Tidak bereaksi terhadap obat lain\n5. Aman digunakan untuk anak2 &amp; bayi\n6. Kemasan finger off yg tak bersentuhan dgn luka\n7. Tidak perih pada l,1 mengandung ekstrak lidah 2 mengandung alkohol 3 memiliki manis 4 bereaksi obat 5 aman anak anak amp bayi 6 kemasan finger off bersentuhan luka 7 perih l,positive
668,"Islam datang di Indonesia dengan dialog kebudayaan. Itulah alasan mendasar Islam dapat dengan mudah berkembang, karena antara Islam dan budaya tidak pernah dipertentangkan",islam indonesia dialog kebudayaan alasan mendasar islam mudah berkembang islam budaya dipertentangkan,negative
669,USER onta ya bukan aku\xf0\x9f\x98\x92',ya,negative
670,"USER Sya lebih khawatir lgi klo dek tsamara gak brnti ngetwit hal2 yg gak penting,. Sya takut antusiasme rakyat merosot liat kader partai sperti ini, Harus jdi pertanyaan besar apakah rakyat sudah tak tertarik lgi liat PSI? Apakah ada trust yg hil",khawatir dek tsamara berhenti mentwit takut antusiasme rakyat merosot lihat kader partai rakyat tertarik lihat psi trust hil,negative
671,Bagaimana perasaan walubi kalo umat budha di indonesia yg di usir dan di bantai???,perasaan walubi umat buddha indonesia usir bantai,negative
672,USER Giliran ambruk cuma planga plongo kaya ayam kena tetelo ?? USER ; ; #Putin; #PrabowoUntukIndonesia; #2019GantiPresiden,giliran ambruk plonga plongo kayak ayam kena tetelo  putin prabowo indonesia 2019 ganti presiden,negative
673,Beda kristen dg agama lain>siapa yg percaya YESUS sbg Juruslamat& Tuhan! Mk menerima ROH KUDUS-sbg Penolong& Penghibur! *bkn dg kekuatan qt*,beda kristen agama percaya yesus juru selamat tuhan mk menerima roh kudus penolong penghibur kekuatan,negative
674,PRESIDEN SOEHARTO AKAN RESMIKAN TIGA MUSEUM DIÂ TMII,presiden soeharto resmikan museum taman mini indonesia indah,neutral
675,USER USER USER Lu nyindir pak de? ?. #2019GantiPresiden,menyindir deh 2019 ganti presiden,negative
676,"Jgn ada yg percaya dgn akun ini\n\n\xe2\x9e\xa1 USER \n\xe2\x9e\xa1 WA 081381413774\n\nAwal nya dia ga percaya sy buat\nCAMSEX, trus sy buktikan Vc beberapa detik, pas suruh Tf alesan nya neko2\n\n\xe2\xac\x87Ni muka nya kaya monyet \xe2\xac\x87 URL",percaya akun  wa 081381413774 nya percaya camsex buktikan video call detik pas suruh transfer alasan nya muka nya kayak,negative
677,"USER USER bicara sains kok nonton youtube, lakukan eksperimen sendiri, jgn nonton youtube yg bisa dimodifikasi sama pembuatnya, hadeh pantes GEblek'",bicara sains menonton youtube lakukan eksperimen menonton youtube dimodifikasi pembuatnya aduh,negative
678,Presiden Jokowi Sebut Soft Launching Bandara Kertajati 24 Mei,presiden jokowi lembut launching bandara kertajati 24 mei,positive
679,"#PojokSatu Polisi Masih Selidiki Kasus Presiden #PKS, Punya Kemungkinan Tak Ada Unsur Pidana",pojok polisi selidiki presiden partai keadilan sejahtera unsur pidana,negative
680,"USER USER Begitu pula kristen, teman saya banyak yg dari GKJW. Penerapan dalam kehidupannya pun berbeda dengan kristen yg ada di indonesia daerah lain.\nJadi menurut saya, kultur budaya nusantara yg beragam tsb mampu berkolaborasi dgn agama/k",kristen teman gereja kristen jawi wetan penerapan kehidupannya berbeda kristen indonesia daerah kultur budaya nusantara beragam berkolaborasi agama k,negative
681,"Jokowi sudah menyerah saatnya gantikan Jokowi, lengserkan jokowi qishosjokowi URL",jokowi menyerah gantikan jokowi lengserkan jokowi kisas jokowi,negative
682,"USER Nasdem itu sudah jadi bahan tertawaan anak kecil seluruh Indonesia. Omongan kader2nya asbun. Yg mau jadi cawapres Jokowi itu cuma khayalan kader2 partai. Rakyat ga ada yg peduli, kecuali #2019GantiPresiden",nasional demokrat bahan tertawaan anak indonesia omongan kader kadernya bunyi calon wakil presiden jokowi khayalan kader kader partai rakyat peduli kecuali 2019 ganti presiden,negative
683,"USER USER USER USER Gini umat islam di bodohi pake kata fiksi. Dan alasan salman rusdhi mbuat ""the santanicverse"" berasal pembodohan seperti ini. Fiksi itu imanijer *angan2. Kalau tujuan untuk membela USER banyak nara",umat islam bodohi pakai fiksi alasan salman rusdhi the satanic verse berasal pembodohan fiksi imajiner angan angan tujuan membela  nara,negative
684,USER USER KAMU LAH HOMO YG PALING SIAL BAJINGAN GOBLOK...KALAU TERLALU GIAN KAMU AMPUT ANJING DITEPI JALAN TU.....SEMOGA KAMU TERIMA BALASAN NYA NANTI...',sial gian amput tepi jalan semoga terima balasan nya,positive
685,Mengajak anak-anak dalam peledakan bom tidak mungkin muncul dari orang yang memahami Islam. Itu tindakan keji.\n - Aman Abdurrahman',mengajak anak anak peledakan bom muncul orang memahami islam tindakan keji aman abdurrahman,negative
686,"Pacarnya Bowie, cece si banci salon dan banci tampiln\xf0\x9f\xa4\xa3 URL",pacarnya bowie cece sih salon tampilan,negative
687,"USER Udah dmcin ae zon, bilang kampang gitu. kok jadi kesel bgst lah'",direct message sis zon bilang kesal,negative
688,USER Alah kntl',alah,negative
689,USER Gi ngocok memek say',mengocok sayang,negative
690,"RT USER: Babang dgn kontol tebel, jembut rimbun, colinya bikin ngiler \xf0\x9f\x98\xb0 USER USER USER USER\xe2\x80\xa6'",babang tebal rimbun colinya bikin mengiler,positive
691,USER Gue baru nyadar kalo situ baru ngefollowback saya. Kelamaan umroh ya? Mana oleh-oleh onta mekkah? Iya salam kenal Dav.',gue menyadari situ mengikuti umrah ya makkah iya salam kenal dav,negative
692,USER Bubarkan saja kpk biar leluasa para koruptor memperkaya diri di Negri ini,bubarkan komisi pemberantasan korupsi biar leluasa koruptor memperkaya negeri,negative
693,"USER USER USER Susah bang, jawa uda dipegang jokowi, antek dia semua, sedihhh sih'",susah bang jawa dipegang jokowi sedih sih,negative
694,USER Cuma rezim ini org kaya dia berani tampil di layar kaca. Mohon segera ambil tindakan USER USER,orang kayak berani tampil layar kaca mohon ambil tindakan,negative
695,RT USER mmg otoriter! Buktinya USER selalu OTT? Pdhal dri partai politiknya sendiri byk ya? USER & USER Ditangkap smua?,otoriter buktinya  ott partai politiknya ya   ditangkap,negative
696,"Dosa di rumah atau di tempat privasi kamu, itu kamu dengan Tuhan. \n\nTapi, jgn mempengaruhi budaya songsang ini kepada mereka yg tidak bersetuju denganmu dan jgnlah merosakkan sistem kekeluargaan normal manusia.\n\nTolak budaya LGBT \xf0\x9f\x8f\xb3\xef",dosa rumah privasi tuhan mempengaruhi budaya bertentangan bersetuju denganmu merusakkan sistem kekeluargaan normal manusia tolak budaya,negative
697,USER USER USER USER USER USER USER Cebong itu badut nya China \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 cuma dikipasin sama uang recehan galaknya bukan main\xf0\x,badut nya cina dikipasi uang recehan galaknya main x,negative
698,"Apakah berkat solat dan mengaji atau berkat belajar ilmu yang dikembangkan para kafir, Pak Lukman?",berkat salat mengaji berkat belajar ilmu dikembangkan lukman,negative
699,"Yang heran memang, dalam Budaya Indonesia hari ini, orang seperti Arteria, Fahri, Fadli- yg jualannya memang cuma teater- terus menerus juga jadi narsum berita. Yang punya kamera juga jelas memang cuma mencari teater, sengaja dibuat insentif buat monyet.",heran budaya indonesia orang arteria fahri fadli jualannya teater menerus narasumber berita kamera mencari teater sengaja insentif,negative
700,CEPAT BERIKAN AKU BEBERAPA EKOR CHANGBIN HYUNK. PENGEN DIBULLY SAMPE TITIT DARAH PENGHABISAN',cepat ekor changbin hyung dibully darah penghabisan,positive
701,"Kok cuma cina non muslim yg dibantai? Tuh si USER jg cina, usir jg dong.",cina non muslim dibantai sih  cina usir,negative
702,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Salah,salah,negative
703,"USER + fed well\n+ benar benar memotivasi\n+ jarang rebutan bias\n+ dapet merch dia gampang dan lumayan murce\n\n- di bilang lesbi\n- ""cOwOknYa kOk cANtik""'",fed well memotivasi jarang berebut bias merch gampang lumayan murah bilang cowoknya cantik,positive
704,USER iya juga ya pertanyaan bg USER ini. lantas kami menyebut org yg bkn beragama islam dgn sebutan apa? knp sebut non muslim gk terima. aneh2 aja rezim ini.. zaman pak beye dulu gk ada yg kek beginian. #TepokJidat. ya sdh la intinya #20,iya ya  lantas menyebut orang beragama islam sebutan non muslim terima aneh aneh zaman susilo bambang yudhoyono kayak tepuk jidat ya intinya 20,negative
705,"Ini orang ga tau Islam, tp belagu dan asbun.; ; Pidato Jokowi udah sesuai ayat Qur'an: Allah tak akan ubah nasib suatu kaum kecuali mrk mengubahnya. ; ; Kalo mau ganti presiden, rakyat sendiri yg harus mengganti. Baru Tuhan mengganti. Kehendak rakyat dulu,",orang tau islam belaga bunyi pidato jokowi sesuai ayat qur an allah ubah nasib kaum kecuali mengubahnya ganti presiden rakyat mengganti tuhan mengganti kehendak rakyat,negative
706,Perasaan kemarin2 pake Axis aman2 aja deh di rumah. Kok 2 minggu ini kacrut kali sih jaringannya -_-*',perasaan kemarin kemarin pakai axis aman aman deh rumah 2 minggu kali sih jaringannya _,positive
707,Gak enak bego dituduh-tuduh sama sesuatu hal yg gak pernah gue lakuin!',enak dituduh tuduh gue lakukan,negative
708,punya otak? taruh dimana? pasti taruh di congor lo kan?',otak taruh dimana taruh,negative
709,USER USER Si Terdakwa Penista Agama Alias Si Ahok Babi Jamban tuh yang Morfotin Uang Rakyat Jakarta,sih terdakwa penista agama alias sih ahok morfin uang rakyat jakarta,negative
710,USER Lah lu bom apa gimana?jauh jauh dah gua nih takut',bom gue nih takut,negative
711,"Yakinlah gabungan yang disokong tetap berkesan; ; Oleh itu tolonglah kami untuk menolong kamu; ; Kerana akhirnya nikmat usaha ini adalah untuk semua; ; Kamu untuk kami, kami untuk kamu; ; Untuk bangsa, agama dan negara.; ; SOKONGLAH PAKATAN HARAPAN!",yakinlah gabungan disokong berkesan tolonglah menolong ranah nikmat usaha bangsa agama negara sokonglah pakatan harapan,negative
712,"USER Pak USER sebelum Anda menjelaskan, Quran hanya kitab sampah berbahaya, kekacauan terus terjadi", alquran kitab berbahaya kekacauan,negative
713,Gils ada yg jual pc jucan 100 aja w mikir2 wkwkkw\nEdan',jual pc jucan 100 gue memikir wkwk,neutral
714,sadar gak se lepas sepatu tp masi kaos kaki iku bau banget woiii yaampun kyk ambu silit',sadar lepas sepatu kaos kaki bau banget woiii ya ampun kayak ambu,negative
715,USER Najis sok banget jutek iyuuuh. Gua mau nyanyk aja..',sok banget jutek iyuuuh gue yanyk,negative
716,"""Sekali-kali tidak akan masuk surga kecuali orang-orang Yahudi atau Nasrani"". Demikian itu (hanya) angan-angan kosong belaka"" (QS 2:111)'",kali masuk surga kecuali orang orang yahudi nasrani angan angan kosong belaka qs 2 111,negative
717,"USER Mata yang sipit, ya walaupun banyak yg bilang petet dan semacamnya but i just love my eyes so much.'",mata ya bilang semacamnya but i just love my eyes sok much,negative
718,Bubarkan saja tuh DPR sama KPK...sama aja bodoh nya,bubarkan dewan perwakilan rakyat komisi pemberantasan korupsi nya,negative
719,RT USER: Brondong SMP kontol cakep panjang! Croott URL,berondong cakap crot,negative
720,Tapi apa aku tahu.. \nRamai hanya mampu bisu.. \nTak mahu buang malu.. \nTakut kepala tembus peluru..',ramai buang malu takut kepala tembus peluru,negative
721,"Apa cuma aku aja yg pgn taeyong di nct china jg hehe (jgn hujat aku please ini cm pendapat aja). Fansbase ty di china cukup gede dibandingkan member yg lain. Tp pgn ty istirahat jg, tp pgn liat ty terusss \xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\xe3\x85\xa0\",taeyong nct cina hehe hujat please pendapat fanbase terima kasih cina gede dibandingkan member terima kasih istirahat lihat terima kasih,positive
722,"USER perpres jkw lebih tegas drpd prepres sby buka matamu liat ,jgn hanya bacot bodoh2in fllwr pak !'",peraturan presiden jokowi peraturan presiden susilo bambang yudhoyono buka matamu lihat bodohi pengikut,negative
723,"Islam melarang kaum lelaki untuk menyerupai kaum wanita, baik dalam pakaian, perhiasan, perilaku atau lainnya, dan demikian juga sebaliknya.",islam melarang kaum lelaki menyerupai kaum wanita pakaian perhiasan perilaku,negative
724,"#kualalumpur Ayat al-Quran yang dijadikan hujah oleh ulama untuk mengharamkan pemilihan bukan Muslim sebagai wakil rakyat, apabila diteliti sebenarnya merujuk kepada orang kafir yang memusuhi Islam dan penganutnya.",kuala lumpur ayat al alquran dijadikan hujah ulama mengharamkan pemilihan muslim wakil rakyat diteliti merujuk orang memusuhi islam penganutnya,negative
725,"#TolakPerpresTKA; #TolakPerpresTKA; #2019GantiPresiden; #2019PresidenBaru; ; Hai mahasiswa Indonesia, nih ada hadiah lipstik dan kolor untuk kalian dari seorang kakek tukang beca",tolak peraturan presiden tenaga kerja tolak peraturan presiden tenaga kerja 2019 ganti presiden 2019 presiden hai mahasiswa indonesia nih hadiah lipstik kolor kakek tukang becak,negative
726,USER Kelakar kan hahhaha mmg klaka pon sbb cerita cinta monyet masa skolah menengah \xf0\x9f\xa4\xa3',kelakar haha klaka pon cerita cinta sekolah menengah,positive
727,USER USER \xc2\xab diem lu buaya.',diam,negative
728,Para pendukung rejim 2 periode mulai sering viralin ceramah dan wawancaranya TGB...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',pendukung 2 periode viralkan ceramah wawancaranya tuan guru bajang,negative
729,"USER Anak pmr calon dokter gk cupu :'(""",anak pmr calon dokter,negative
730,"Anggota DPR ini pamer DUNGU & BIADAB Islam, Quran merintahkan penggal kafir, dia laksanakan, dia bisa bilang HAM",anggota dewan perwakilan rakyat pamer biadab islam alquran merintahkan penggal laksanakan bilang ham,negative
731,Penghina Keluarga Jokowi Langsung Diciduk Giliran Penghina Prabowo SBY dibiarin aja,penghina keluarga jokowi langsung diciduk giliran penghina prabowo susilo bambang yudhoyono dibiarkan,negative
732,USER bani koplak mana nich kok gak dukung siwanbango bego',kocak nih dukung siwanbango,negative
733,"Dalam perbincangan terakhirnya dengan Presiden,",perbincangan terakhirnya presiden,negative
734,Hahahahhahaa silvy ohh silvy cacingan amat loe ahhh wkwkwkwkwkk #DebatFinalPilkadaJKT,haha silvy oh silvy cacingan ah wkwk debat final pemilihan kepala daerah jakarta,negative
735,USER Ayok kawan kita berangkat\nNaek delman atau onta\xf0\x9f\x98\x82',ayo kawan berangkat delman,negative
736,Gubernur yang patuh lapor LHKPN #GanjarYasin1 #KamiGanjarYasin,gubernur patuh lapor laporan harta kekayaan penyelenggara negara ganjar yasin 1 ganjar yasin,neutral
737,"USER mau bukti ke RADIKAL an HTI dan FPI?!; apa kurang bukti di setiap orasi-orasinya HTI dan FPI selalu memfitnah dan caci maki terhadap pemerintah,POLRI bahkan ULAMA'/KYAI-KYAI!!! ; dasar otak bebek pura-pura buta dan tuli dengan isi otak junj",bukti radikal an hati front pembela islam bukti orasi orasinya hati front pembela islam memfitnah caci maki pemerintah kepolisian republik indonesia ulama kiai kiai dasar otak bebek pura pura tuli isi otak junj,negative
738,"USER Sebenarnya maksud dari jor joran 'pinjaman' ajaib itu adalah.. \n1. Merebut simpati rakyat, yg di bombardir media, 51% freeport milik Indonesia. \n2. Isyu got sulit digoreng, karena sudah bertransformasi jd rezim, mainlah teknologi 'got' tin",maksud jor joran pinjaman ajaib 1 merebut simpati rakyat bombardir media 51 freepo milik indonesia 2 isu got sulit digoreng bertransformasi mainlah teknologi got tin,negative
739,"USER 6 jam perjalanan bang, tapi di sini adem \xf0\x9f\x98\x8c\n\nWkwkwk ((( naik onta ))) \xf0\x9f\xa4\xa3'",6 jam perjalanan bang adem wkwk,positive
740,Bahas Islam merusak nilai USER penguatan karakter melalui revitalisasi pendidikan nilai,bahas islam merusak nilai  penguatan karakter revitalisasi pendidikan nilai,negative
741,bagus....nanti dipakai untuk petisi lengserkan Jokowi ya KembalikanAhokKeCipinang,bagus dipakai petisi lengserkan jokowi ya kembalikan ahok cipinang,negative
742,RT USER Semoga dimasa depan etnis cina di Indonesia tetap tdk menduduki pemerintahan.. bisa jadi kayak Singapur :),semoga etnis cina indonesia menduduki pemerintahan kayak singapura,positive
743,Monyet beneran mati ini mah:)) USER URL,benaran mati,negative
744,Sepandai pandainya kita menyembunyikan bangkai pasti akan tercium juga baunya haha \xf0\x9f\x99\x8a',sepandai pandainya menyembunyikan tercium baunya haha,positive
745,USER USER USER trus Islam ga punya kitab suci?; kok logika lu jatuh ke palung jawa gitu modelnya; tau arti kata fiksi menurut kbbi belum?,islam kitab suci logika jatuh palung jawa modelnya tau arti fiksi kamus bahasa indonesia,negative
746,RT USER Mungkin kata USER: yg dilakukan Raja Salman hanya pencitraan, raja salman pencitraan,negative
747,USER Untuk mengedukasi manusya2 udik seperti qm misalnya',mengedukasi manusia manusia,negative
748,"Saya Muslim, Katolik,Budha,Hindu ,Kristen,Jawa,Sumatra,Papua tidak masalah, konsekuensiny anda bukan Muslim, Jawa dst. karena itu semua kebhinekaan kita. \nTapi kalo saya NKRI ,Pancasila konsekuensinya selain itu bukan orang Indonesia ...'",muslim katolik buddha hindu kristen jawa sumatra papua konsekuensinya muslim jawa kebinekaan negara kesatuan republik indonesia pancasila konsekuensinya orang indonesia,negative
749,"USER USER Tolol...apa hubungannya dgn rumahtangga?urus saja kerjaanmu,gk usah banyak cakap.kamu jadi menteri di PECAT,jd gubernur,malah membuat jakarta semakin gk karuan.sebentar lagi juga hancur tuh jakarta....'",hubungannya rumah tangga urus kerjaanmu cakap menteri pecat gubernur jakarta karuan sebentar hancur jakarta,negative
750,bi dorong pembiayaan syariah untuk pembangunan,bi dorong pembiayaan syariat pembangunan,neutral
751,"Moga2 berkah untuk semuanya, tapi mohon perhatian untuk sektor2 lain yang mana dunia usaha merasa masih dipersulit, di takut2i, mohon Bapak Presiden blusukan juga ke lkpp yang dirasa sangat menghambat, ke depkes, polisi masih juga suka mengganggu.",moga moga berkah mohon perhatian sektor sektor dunia usaha dipersulit menakuti mohon presiden blusuk lembaga kebijakan pengadaan barang jasa pemerintah dirasa menghambat departemen kesehatan polisi suka mengganggu,negative
752,Nih ya gue jelasin. \n\nCowo. Burungnya gaada. Jadi cewe. Cewenya bernada2. \n\nSIAPA LAGI TRANSGENDER DI INDONESIA YG NYANYI? URL,nih ya gue cowok burungnya cewek ceweknya bernada nada indonesia nyanyi,negative
753,USER USER Indonesia sedang di jajah cina...,indonesia jajah cina,negative
754,RT USER Bubarkan DPR gak butuh,bubarkan dewan perwakilan rakyat butuh,negative
755,USER NGAKAK NGAPAIN NANYA SAMA GW TAE MINTA DIGAMPAR',tertawa gue digampar,negative
756,"USER Bung Fadly, timbang kadar Iman seseorang pake apa, timbangan sayur? Jgn2 kadar iman pak TGB lbh tinggi dr fadly yg drg bawa bunga ke makam pendiri Sosialis Komunis?'",fadli timbang kadar iman pakai timbangan sayur kadar iman tuan guru bajang fadli dokter gigi bawa bunga makam pendiri sosialis,negative
757,USER USER USER Cocot cocot cocot. 2019 bubarin grindra',2019 bubarkan gerindra,negative
758,USER Ayoo ngewe',ayo,negative
759,USER yang sampe Januari 1998 masih bilang Anti-Suharto gerakan Komunis yah?',januari 1998 bilang anti soeharto gerakan ya,negative
760,USER USER USER USER Gak usah sok bijak. Smua mata sdh liat gimana kebobrokan hukum saat ini. Rakyat sdh bisa menilai loh. Gk bego. Kita lihat nanti #2019GantiPresiden',sok bijak mata lihat kebobrokan hukum rakyat menilai lihat 2019 ganti presiden,negative
761,RT USER: USER Burma dan Budha memang teroris sebenarnya,burma buddha teroris,negative
762,Hooo keliatan mana yg bego sekarang hahaha',hooo haha,negative
763,"USER Wkwkwk, ke trigger jg bani onta'",wkwk trigger,negative
764,"Brengsek jg ya mantan gue. One thing bout her yg gue suka, mulutnya emang ga pernah difilter so gue pasti dpt jawaban jujur dr dia'",ya mantan gue one thing bout her gue suka mulutnya difilter sok gue jujur,negative
